type,content,links
li,5.2.4Fakultas Ilmu dan Teknologi Kebumian (FITB),#Fakultas_Ilmu_dan_Teknologi_Kebumian_(FITB)_2
li,5.2.5Fakultas Teknik Pertambangan dan Perminyakan (FTTM),#Fakultas_Teknik_Pertambangan_dan_Perminyakan_(FTTM)_2
li,5.2.6Sekolah Teknik Elektro dan Informatika (STEI),#Sekolah_Teknik_Elektro_dan_Informatika_(STEI)_2
li,5.2.7Fakultas Teknologi Industri (FTI),#Fakultas_Teknologi_Industri_(FTI)_2
li,5.2.8Fakultas Teknik Mesin dan Dirgantara (FTMD),#Fakultas_Teknik_Mesin_dan_Dirgantara_(FTMD)_2
li,5.2.9Fakultas Teknik Sipil dan Lingkungan (FTSL),#Fakultas_Teknik_Sipil_dan_Lingkungan_(FTSL)_2
li,"5.2.10Sekolah Arsitektur, Perencanaan, dan Pengembangan Kebijakan (SAPPK)","#Sekolah_Arsitektur,_Perencanaan,_dan_Pengembangan_Kebijakan_(SAPPK)_2"
li,5.2.11Sekolah Bisnis dan Manajemen (SBM),#Sekolah_Bisnis_dan_Manajemen_(SBM)_2
li,6Selektivitas,#Selektivitas
li,7ReputasiGulingkan subbagian Reputasi7.1Peringkat ITB di Dunia7.2Peringkat ITB di Asia7.3Peringkat ITB berdasarkan Bidang Studi7.4Peringkat ITB dalam Keberlanjutan,#Reputasi #Peringkat_ITB_di_Dunia #Peringkat_ITB_di_Asia #Peringkat_ITB_berdasarkan_Bidang_Studi #Peringkat_ITB_dalam_Keberlanjutan
li,7.1Peringkat ITB di Dunia,#Peringkat_ITB_di_Dunia
li,7.2Peringkat ITB di Asia,#Peringkat_ITB_di_Asia
li,7.3Peringkat ITB berdasarkan Bidang Studi,#Peringkat_ITB_berdasarkan_Bidang_Studi
li,7.4Peringkat ITB dalam Keberlanjutan,#Peringkat_ITB_dalam_Keberlanjutan
li,8Rektor,#Rektor
li,9Keluarga mahasiswa ITB,#Keluarga_mahasiswa_ITB
li,10Organisasi kemahasiswaanGulingkan subbagian Organisasi kemahasiswaan10.1Unit kegiatan mahasiswa10.2Himpunan mahasiswa program studi,#Organisasi_kemahasiswaan #Unit_kegiatan_mahasiswa #Himpunan_mahasiswa_program_studi
li,10.1Unit kegiatan mahasiswa,#Unit_kegiatan_mahasiswa
li,10.2Himpunan mahasiswa program studi,#Himpunan_mahasiswa_program_studi
li,11Lembaga,#Lembaga
li,12Alumni,#Alumni
li,13Prestasi,#Prestasi
li,14Galeri,#Galeri
li,15Catatan,#Catatan
li,16Referensi,#Referensi
li,17Lihat Pula,#Lihat_Pula
li,18Pranala luar,#Pranala_luar
h1,Institut Teknologi Bandung,
li,العربية,https://ar.wikipedia.org/wiki/%D9%85%D8%B9%D9%87%D8%AF_%D8%A8%D8%A7%D9%86%D8%AF%D9%88%D9%86%D8%BA_%D9%84%D9%84%D8%AA%D9%82%D8%A7%D9%86%D8%A9
li,Basa Bali,https://ban.wikipedia.org/wiki/Institut_T%C3%A9knologi_Bandung
li,Cebuano,https://ceb.wikipedia.org/wiki/Bandung_Institute_of_Technology
li,Deutsch,https://de.wikipedia.org/wiki/Institut_Teknologi_Bandung
li,English,https://en.wikipedia.org/wiki/Bandung_Institute_of_Technology
li,فارسی,https://fa.wikipedia.org/wiki/%D9%85%D8%A4%D8%B3%D8%B3%D9%87_%D9%81%D9%86%D8%A7%D9%88%D8%B1%DB%8C_%D8%A8%D8%A7%D9%86%D8%AF%D9%88%D9%86%DA%AF
li,Français,https://fr.wikipedia.org/wiki/Institut_technologique_de_Bandung
li,日本語,https://ja.wikipedia.org/wiki/%E3%83%90%E3%83%B3%E3%83%89%E3%83%B3%E5%B7%A5%E7%A7%91%E5%A4%A7%E5%AD%A6
li,Jawa,https://jv.wikipedia.org/wiki/Institut_T%C3%A8knologi_Bandung
li,한국어,https://ko.wikipedia.org/wiki/%EB%B0%98%EB%91%A5_%EA%B3%B5%EA%B3%BC%EB%8C%80%ED%95%99%EA%B5%90
li,Latina,https://la.wikipedia.org/wiki/Institutum_Technologiae_Bandung
li,Minangkabau,https://min.wikipedia.org/wiki/Institut_Teknologi_Bandung
li,Bahasa Melayu,https://ms.wikipedia.org/wiki/Institut_Teknologi_Bandung
li,Nederlands,https://nl.wikipedia.org/wiki/Institut_Teknologi_Bandung
li,Polski,https://pl.wikipedia.org/wiki/Instytut_Technologii_w_Bandungu
li,Simple English,https://simple.wikipedia.org/wiki/Bandung_Institute_of_Technology
li,Sunda,https://su.wikipedia.org/wiki/Institut_Teknologi_Bandung
li,Svenska,https://sv.wikipedia.org/wiki/Institut_Teknologi_Bandung
li,ไทย,https://th.wikipedia.org/wiki/%E0%B8%AA%E0%B8%96%E0%B8%B2%E0%B8%9A%E0%B8%B1%E0%B8%99%E0%B9%80%E0%B8%97%E0%B8%84%E0%B9%82%E0%B8%99%E0%B9%82%E0%B8%A5%E0%B8%A2%E0%B8%B5%E0%B8%9A%E0%B8%B1%E0%B8%99%E0%B8%94%E0%B8%B8%E0%B8%87
li,Tagalog,https://tl.wikipedia.org/wiki/Bandung_Institute_of_Technology
li,Українська,https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D0%BD%D0%B4%D1%83%D0%BD%D0%B3%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D1%82%D0%B5%D1%85%D0%BD%D0%BE%D0%BB%D0%BE%D0%B3%D1%96%D1%87%D0%BD%D0%B8%D0%B9_%D1%96%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82
li,Oʻzbekcha / ўзбекча,https://uz.wikipedia.org/wiki/Bandung_texnologiya_instituti
li,中文,https://zh.wikipedia.org/wiki/%E4%B8%87%E9%9A%86%E7%90%86%E5%B7%A5%E5%AD%A6%E9%99%A2
li,Halaman,/wiki/Institut_Teknologi_Bandung
li,Pembicaraan,/wiki/Pembicaraan:Institut_Teknologi_Bandung
li,Baca,/wiki/Institut_Teknologi_Bandung
li,Sunting,/w/index.php?title=Institut_Teknologi_Bandung&veaction=edit
li,Sunting sumber,/w/index.php?title=Institut_Teknologi_Bandung&action=edit
li,Lihat riwayat,/w/index.php?title=Institut_Teknologi_Bandung&action=history
li,Baca,/wiki/Institut_Teknologi_Bandung
li,Sunting,/w/index.php?title=Institut_Teknologi_Bandung&veaction=edit
li,Sunting sumber,/w/index.php?title=Institut_Teknologi_Bandung&action=edit
li,Lihat riwayat,/w/index.php?title=Institut_Teknologi_Bandung&action=history
li,Pranala balik,/wiki/Istimewa:Pranala_balik/Institut_Teknologi_Bandung
li,Perubahan terkait,/wiki/Istimewa:Perubahan_terkait/Institut_Teknologi_Bandung
li,Pranala permanen,/w/index.php?title=Institut_Teknologi_Bandung&oldid=27351187
li,Informasi halaman,/w/index.php?title=Institut_Teknologi_Bandung&action=info
li,Kutip halaman ini,/w/index.php?title=Istimewa:Kutip&page=Institut_Teknologi_Bandung&id=27351187&wpFormIdentifier=titleform
li,Lihat URL pendek,/w/index.php?title=Istimewa:UrlShortener&url=https%3A%2F%2Fid.wikipedia.org%2Fwiki%2FInstitut_Teknologi_Bandung
li,Unduh kode QR,/w/index.php?title=Istimewa:QrCode&url=https%3A%2F%2Fid.wikipedia.org%2Fwiki%2FInstitut_Teknologi_Bandung
li,Buat buku,/w/index.php?title=Istimewa:Buku&bookcmd=book_creator&referer=Institut+Teknologi+Bandung
li,Unduh versi PDF,/w/index.php?title=Istimewa:DownloadAsPdf&page=Institut_Teknologi_Bandung&action=show-download-screen
li,Versi cetak,/w/index.php?title=Institut_Teknologi_Bandung&printable=yes
li,Wikimedia Commons,https://commons.wikimedia.org/wiki/Category:Bandung_Institute_of_Technology
li,Butir di Wikidata,https://www.wikidata.org/wiki/Special:EntityPage/Q1579397
p,"S1 - 19 - 1,57%[7]S2 - 300 - 24,85%[7]",#cite_note-fct-8 #cite_note-fct-8
p,"Institut Teknologi Bandung(disingkatITB,aksara Sunda:ᮄᮔ᮪ᮞ᮪ᮒᮤᮒᮥᮒ᮪ ᮒᮦᮊ᮪ᮔᮧᮜᮧᮌᮤ ᮘᮔ᮪ᮓᮥᮀ) adalah sebuahperguruan tinggi negeriyang terletak diKota Bandung, Jawa Barat. Nama ITB diresmikan pada tanggal 2 Maret 1959.[2]Sejak tanggal 14 Oktober 2013 ITB menjadi Perguruan Tinggi Negeri Badan Hukum (PTN BH) yang memiliki otonomi pengelolaan dalam akademik dan nonakademik.[8]ITB telah memiliki 27 program studi yang terakreditasi secara internasional (sebelas dariABET, sebelas dari ASIIN).[9][10][11]",/wiki/Aksara_Sunda /wiki/Perguruan_tinggi_negeri /wiki/Kota_Bandung #cite_note-sk267-2 #cite_note-pp65-11 https://en.wikipedia.org/wiki/ABET #cite_note-abet-12 #cite_note-abetitb-13 #cite_note-spm-14
p,"Kampus utama ITBsaat ini merupakan lokasi dari sekolah tinggi teknik pertama di Indonesia[note 4]sekaligus lembaga pendidikan tinggi pertama diHindia Belanda.[note 5]Walaupun masing-masing institusi pendidikan tinggi yang mengawali ITB memiliki karakteristik dan misi masing-masing, semuanya memberikan pengaruh dalam perkembangan yang menuju pada pendirian ITB.",/wiki/Kampus_ITB_Ganesha #cite_note-jul-16 /wiki/Hindia_Belanda #cite_note-reed-18
